offer_id,customer_id,offer_type,accepted,date_offered
1,15647311,Product Upgrade,True,2026-08-15
2,15701354,Product Upgrade,False,2025-10-15
3,15701354,Product Upgrade,False,2025-08-17
4,15592531,Rate Discount,False,2026-04-21
5,15656148,Cashback,False,2024-10-13
6,15792365,Rate Discount,1,2025-10-31
7,15792365,Fee Waiver,False,2025-03-09
8,15592389,Cashback,True,2024-12-23
9,15691483,Cashback,True,2024-10-07
10,15600882,Product Upgrade,False,2025-02-04
11,15600882,Loyalty Bonus,True,2025-06-27
12,15643966,Cashback,False,2025-01-26
13,15737452,Rate Discount,False,2025-09-22
14,15737452,Product Upgrade,False,2026-06-09
15,15788218,Cashback,True,2025-02-16
16,15661507,Rate Discount,True,2025-08-15
17,15568982,Cashback,True,2026-08-26
18,15577657,Rate Discount,True,2025-04-02
19,15699309,Rate Discount,False,2025-11-24
20,15725737,Fee Waiver,True,2025-11-30
21,15625047,Fee Waiver,False,2025-05-16
22,15738191,Rate Discount,True,2024-10-13
23,15738191,Cashback,False,2025-07-19
24,15736816,Rate Discount,True,2025-04-10
25,15736816,Loyalty Bonus,True,2025-06-21
26,15700772,Product Upgrade,True,2026-07-29
27,15728693,Product Upgrade,False,2026-08-15
28,15728693,Fee Waiver,False,2025-11-04
29,15656300,Product Upgrade,True,2026-02-11
30,49463523,Fee Waiver,False,2025-09-03
31,15589475,Cashback,True,2025-08-18
32,15589475,Cashback,True,2024-10-15
33,15706552,Cashback,True,2026-03-26
34,15750181,Product Upgrade,True,2024-11-20
35,15750181,Fee Waiver,True,2026-03-15
36,15659428,Product Upgrade,False,2026-06-12
37,15794171,Cashback,False,06/03/2025
38,15794171,Loyalty Bonus,False,2025-10-19
39,15788448,Cashback,False,2025-07-07
40,15788448,Cashback,True,2025-12-20
41,15717426,Cashback,False,2024-11-23
42,15585768,Loyalty Bonus,True,2026-04-24
43,15687946,Loyalty Bonus,True,2026-05-31
44,15684171,Cashback, False ,2024-12-11
45,15754849,Fee Waiver,False,2024-10-20
46,15602280,Fee Waiver,False,2026-01-18
47,15771573,Fee Waiver,True,2024-10-07
48,15771573,Loyalty Bonus,True,2026-05-08
49,15766205,Cashback,True,2026-07-25
50,15766205,Loyalty Bonus,True,2026-05-22
51,15616550,Product Upgrade,False,2024-10-28
52,15768193,Fee Waiver,True,2025-07-16
53,15683553,Rate Discount,False,2024-12-14
54,15569590,Fee Waiver,True,2025-10-14
55,15630053,Loyalty Bonus, False ,2025-02-25
56,15647091,Cashback,True,2026-01-24
57,15647091,Loyalty Bonus,False,2026-01-04
58,15804771,Fee Waiver,False,2024-09-18
59,15804771,Cashback,False,2025-05-30
60,15651280,Loyalty Bonus,False,2025-09-09
61,15773469,Cashback,False,
62,15773469,Product Upgrade,N/A,2025-01-23
63,15702014,Fee Waiver,False,2026-08-18
64,15702014,Rate Discount,True,2025-11-25
65,15789484,Cashback,False,2026-05-22
66,15641582,Fee Waiver,False,2026-03-31
67,15638424,Cashback,True,2025-12-22
68,15755648,Cashback,False,2026-04-29
69,15620344,Product Upgrade,True,2026-02-01
70,15812518,Fee Waiver,True,2025-06-21
71,15770811,Fee Waiver,False,2025-02-20
72,15770811,Loyalty Bonus,True,2025-02-22
73,15780961,Product Upgrade,False,2025-05-17
74,15662085,Product Upgrade,True,2025-01-13
75,15803136,Cashback,MAYBE,2025-04-19
76,15706021,Cashback,False,
77,15663706,Product Upgrade,False,2026-05-16
78,15663706,Product Upgrade,True,2025-04-19
79,15641732,Fee Waiver,False,2024-12-02
80,15641732,Fee Waiver,True,2025-08-20
81,15738751,Fee Waiver,False,2025-08-29
82,15738751,product upgrade,True,2025-07-12
83,15805254,Loyalty Bonus,False,2026-03-09
84,15805254,Loyalty Bonus,False,2025-05-06
85,15767954,Product Upgrade,False,07-22-2025
86,15757535,Product Upgrade,False,2026-07-02
87,15731511,Loyalty Bonus,True,2026-05-28
88,15809248,Loyalty Bonus,False,2026-06-03
89,15809248,Fee Waiver,True,2025-02-20
90,15640635,Loyalty Bonus,False,2025-07-24
91,15699461,Cashback,False,2025-02-26
92,15699461,Rate Discount,True,2025-04-08
93,15738721,Cashback,False,2025-02-17
94,15738721,Cashback,True,2025-10-05
95,15693683,Loyalty Bonus, False ,2024-11-19
offer_96,15693683,Loyalty Bonus,False,2025-04-26
97,15633059,Loyalty Bonus,False,2024-11-18
98,15808582,Cashback,False,2025-08-31
99,15804919,Fee Waiver,True,2025-03-11
100,15804919,Rate Discount,True,2026-05-16
101,15599195,Fee Waiver,True,2026-02-01
102,15812878,Loyalty Bonus,True,2025-06-06
103,15812878,Product Upgrade,True,2026-06-26
104,15803526,Loyalty Bonus,True,2024-10-26
105,15715951,Fee Waiver,True,2025-08-11
106,15715951,Fee Waiver,False,2026-03-19
107,15591100,Loyalty Bonus,True,2026-08-06
108,15675522,Loyalty Bonus,False,2025-07-07
109,15661670,Rate Discount,False,2025-11-08
110,15600781,Loyalty Bonus,False,2024-10-10
111,15580203,Product Upgrade,False,2026-05-30
112,15690673,Rate Discount,True,2024-09-16
