cust_key,customer_id,age,gender,geography,credit_score,balance,tenure_months,num_products,has_cr_card,is_active,estimated_salary,is_churned,CLV_LTV,avg_ticket_res_time_hrs,dw_start_date,dw_end_date
883228060,15601274,40,Female,Spain,667,146502.07,12.0,1,True,False,19162.89,False,586008.28,9.4,2025-09-01,
863002916,15594594,42,Male,Spain,546,139070.51,84.0,1,True,True,86945.0,False,278141.02,,2019-09-03,
885228767,15626742,36,Male,France,694,97530.25,36.0,1,True,True,117140.41,False,292590.75,27.4,2023-09-02,
887851212,15651802,39,Female,Spain,632,97854.37,60.0,2,True,False,93536.38,False,391417.48,28.5,2021-09-02,
883347229,15605279,50,Male,France,792,0.0,108.0,4,True,True,194700.81,True,0.0,23.23,2017-09-03,
940636152,15806332,39,Female,Spain,484,0.0,60.0,2,True,True,175224.12,False,0.0,16.57,2021-09-02,
884247557,15614934,37,Female,Germany,625,142711.81,48.0,1,True,False,35625.41,False,428135.43,1.0,2022-09-02,
913854912,15726403,41,Male,Germany,660,129901.21,12.0,1,True,False,26025.6,True,0.0,15.27,2025-09-01,
941502076,15814553,34,Female,France,559,68999.66,60.0,2,True,True,66879.27,False,275998.64,6.45,2021-09-02,
891543438,15691624,33,Male,France,820,132150.26,24.0,2,True,False,23067.97,False,1057202.08,9.1,2024-09-01,
886035144,15632977,47,Male,France,745,0.0,60.0,2,False,False,145789.71,False,0.0,11.25,2021-09-02,
918441084,15775294,31,Female,France,692,0.0,24.0,2,True,False,91829.17,True,0.0,,2024-09-01,
891694406,15696852,32,Female,France,803,192122.84,108.0,1,True,True,54277.45,True,0.0,3.65,2017-09-03,
886034027,15632826,38,Male,France,493,134006.77,36.0,1,True,False,89578.32,False,402020.31,13.73,2023-09-02,
888773835,15661723,71,Male,Spain,667,137260.78,48.0,1,False,True,94433.08,True,0.0,13.8,2022-09-02,
888835370,15663933,35,Female,Germany,625,86147.46,60.0,2,True,False,163440.8,True,0.0,8.4,2021-09-02,
916681312,15758039,44,Male,France,614,0.0,72.0,2,False,True,104930.46,False,0.0,,2020-09-02,
915791325,15749401,60,Male,France,686,0.0,108.0,1,True,True,75246.21,True,0.0,38.68,2017-09-03,
920346747,15797194,39,Male,France,570,129674.89,120.0,2,True,False,80552.36,False,518699.56,12.7,2016-09-03,
860382145,15569654,31,Female,Germany,850,51293.47,36.0,1,False,False,35534.68,False,153880.41,2.0,2023-09-02,
913767676,15723671,35,Male,France,661,100107.99,108.0,1,True,False,83949.68,False,200215.98,13.13,2017-09-03,
917427011,15762123,34,Female,Spain,717,0.0,12.0,2,True,False,119313.74,False,0.0,1.85,2025-09-01,
888804681,15662854,48,Male,Germany,681,139714.4,60.0,2,False,False,73066.72,False,558857.6,62.0,2021-09-02,
911944690,15704081,30,Male,Germany,595,130682.11,108.0,2,True,True,57862.88,False,522728.44,1.9,2017-09-03,
914662429,15732791,32,Male,Germany,641,122947.92,60.0,1,True,True,99154.86,False,245895.84,1.7,2021-09-02,
862912369,15591428,29,Male,France,781,0.0,108.0,2,False,False,172097.4,False,0.0,,2017-09-03,
914843065,15738980,43,Male,France,506,0.0,24.0,2,True,False,105568.6,False,0.0,5.05,2024-09-01,
887882211,15652981,30,Male,Germany,600,119755.0,24.0,1,True,True,21852.91,False,479020.0,,2024-09-01,
889727241,15672754,42,Male,France,498,152039.7,36.0,1,True,True,53445.17,True,0.0,98.3,2023-09-02,
911893702,15702968,74,Male,Germany,733,106545.53,36.0,1,True,True,134589.58,False,319636.59,,2023-09-02,
886086939,15634141,42,Female,Germany,708,192390.52,96.0,2,True,False,823.36,False,769562.08,32.4,2018-09-03,
887044994,15645621,44,Male,Spain,811,0.0,36.0,2,False,True,78439.73,False,0.0,,2023-09-02,
891570318,15692317,30,Male,France,722,0.0,60.0,2,True,False,166376.54,False,0.0,11.4,2021-09-02,
941471294,15813444,34,Female,Spain,590,0.0,72.0,2,True,False,171021.44,False,0.0,5.1,2020-09-02,
915641602,15744368,58,Male,Spain,633,98308.51,72.0,1,True,True,132034.13,False,196617.02,23.4,2020-09-02,
884238908,15614034,61,Male,Germany,607,164523.5,24.0,2,True,True,35786.76,False,1316188.0,5.25,2024-09-01,
861301851,15579262,41,Male,France,497,0.0,108.0,1,False,False,22074.48,False,0.0,5.6,2017-09-03,
890796955,15687491,45,Male,Germany,817,101207.75,108.0,1,False,False,88211.12,True,0.0,22.65,2017-09-03,
912782627,15711468,32,Female,France,527,0.0,84.0,2,True,True,44099.75,False,0.0,,2019-09-03,
915674087,15745605,47,Female,France,722,88011.4,24.0,1,True,True,90655.94,True,0.0,16.63,2024-09-01,
917608731,15768451,40,Male,Germany,739,149131.03,60.0,3,True,True,60036.99,True,0.0,12.65,2021-09-02,
860355114,15568915,38,Male,France,681,153722.47,72.0,1,True,False,101319.76,False,307444.94,15.5,2020-09-02,
918441083,15775293,34,Male,France,680,143292.95,36.0,1,True,False,66526.01,False,429878.85,8.0,2023-09-02,
889755203,15673584,74,Female,France,652,0.0,60.0,2,True,True,937.15,False,0.0,3.75,2021-09-02,
863124932,15598884,23,Male,Spain,650,0.0,60.0,1,True,True,180622.43,False,0.0,25.8,2021-09-02,
886116829,15635177,66,Female,Spain,597,0.0,36.0,1,True,True,70532.53,False,0.0,11.5,2023-09-02,
883406807,15607275,39,Male,Spain,850,206014.94,72.0,2,False,True,42774.84,True,0.0,9.3,2020-09-02,
940695896,15808389,79,Female,France,617,0.0,84.0,1,True,True,160589.18,False,0.0,,2019-09-03,
920346498,15797113,34,Female,Spain,552,0.0,48.0,2,True,False,140286.69,False,0.0,,2022-09-02,
885228925,15626795,40,Female,France,672,0.0,36.0,1,True,False,113171.61,True,0.0,12.3,2023-09-02,
918381443,15773277,37,Male,France,676,106836.67,60.0,2,True,False,84199.78,False,427346.68,,2021-09-02,
940730328,15809830,50,Male,France,630,0.0,96.0,2,False,True,79377.45,False,0.0,20.1,2018-09-03,
912876828,15714970,32,Male,Germany,667,103846.65,0.0,1,True,False,20560.69,False,519233.25,,2026-09-01,
915558057,15741988,52,Female,Germany,492,125396.24,96.0,1,True,False,10014.72,True,0.0,10.2,2018-09-03,
883316414,15604158,37,Female,France,554,0.0,120.0,2,True,True,18391.93,False,0.0,,2016-09-03,
916511146,15752912,30,Female,France,661,0.0,84.0,2,True,False,72196.57,False,0.0,17.2,2019-09-03,
918381442,15773276,37,Male,Spain,633,114552.6,48.0,1,True,False,73856.28,True,0.0,4.3,2022-09-02,
887940808,15654878,29,Male,France,450,117199.8,84.0,1,True,True,43480.63,False,234399.6,8.5,2019-09-03,
940575546,15804211,37,Male,France,719,155423.17,36.0,1,True,True,199841.32,False,466269.51,,2023-09-02,
889931782,15679307,43,Female,France,559,0.0,12.0,1,False,True,86634.3,False,0.0,17.4,2025-09-01,
889870304,15677112,39,Male,France,519,112957.26,24.0,2,True,False,97593.16,False,903658.08,8.5,2024-09-01,
884364705,15618703,53,Female,Spain,663,150200.23,72.0,1,False,True,151317.27,True,0.0,6.5,2020-09-02,
