activity_key,cust_key,date_key,ticket_key,offer_key,product_key,usage_balance,resolution_time_hrs,is_accepted,event_type,event_year
906184487,920316899,20241110.0,-1,1508548,,,,False,Offer,2024.0
948951045,883204807,20240910.0,-1,1568958,,,,False,Offer,2024.0
17736419,912930676,20241226.0,-1,1572777,,,,False,Offer,2024.0
1141506398,890706504,20241027.0,-1,1657622,,,,False,Offer,2024.0
907516974,888982438,20240918.0,-1,53652,,,,True,Offer,2024.0
1464019750,913681034,20240930.0,-1,1693084,,,,True,Offer,2024.0
1482761817,915673190,20241018.0,-1,55423,,,,,Offer,2024.0
2091197159,914807291,20241118.0,-1,1538206,,,,True,Offer,2024.0
1401378716,884364923,20241218.0,-1,1574761,,,,True,Offer,2024.0
690516498,919302825,20241017.0,-1,1604585,,,,False,Offer,2024.0
1218135488,915610785,20241218.0,-1,1663391,,,,False,Offer,2024.0
1519613888,887042206,20240925.0,-1,1689122,,,,False,Offer,2024.0
825722826,912871131,20240910.0,-1,1515119,,,,True,Offer,2024.0
2114586105,884396634,20241022.0,-1,1568927,,,,False,Offer,2024.0
704577412,917399201,20241031.0,-1,1626715,,,,True,Offer,2024.0
1466405459,891605905,20241107.0,-1,1690268,,,,True,Offer,2024.0
54294919,920379204,20241028.0,-1,56381,,,,False,Offer,2024.0
95327939,919218469,20241216.0,-1,1542174,,,,True,Offer,2024.0
1314764887,940603450,20241129.0,-1,1568029,,,,True,Offer,2024.0
1462916832,915704063,20241007.0,-1,1598817,,,,False,Offer,2024.0
804065889,890643939,20240913.0,-1,1601852,,,,True,Offer,2024.0
1430050294,914834357,20241221.0,-1,1602753,,,,True,Offer,2024.0
588000683,884303353,20241028.0,-1,1692,,,,False,Offer,2024.0
1160631287,886058018,20241031.0,-1,1630439,,,,False,Offer,2024.0
344288956,888887239,20241218.0,-1,1659509,,,,False,Offer,2024.0
1184389531,889669457,20241222.0,-1,1516234,,,,False,Offer,2024.0
1199119596,940668740,20241020.0,-1,53464,,,,False,Offer,2024.0
1154556973,890590252,20241212.0,-1,1689089,,,,True,Offer,2024.0
578394906,915580936,20240928.0,-1,1507550,,,,False,Offer,2024.0
1029152985,887044097,20241110.0,-1,1511334,,,,False,Offer,2024.0
40185844,917367366,20241201.0,-1,1538246,,,,True,Offer,2024.0
454714827,913735749,20241222.0,-1,1544198,,,,True,Offer,2024.0
292123004,887998277,20241214.0,-1,1569215,,,,True,Offer,2024.0
887477473,911887990,20240929.0,-1,1574825,,,,True,Offer,2024.0
1857156876,917518241,20240913.0,-1,1603563,,,,False,Offer,2024.0
832686474,884179513,20241102.0,-1,1603773,,,,False,Offer,2024.0
2143811118,912812227,20241217.0,-1,52597,,,,False,Offer,2024.0
1724833616,861213445,20241114.0,-1,52693,,,,True,Offer,2024.0
1764332953,940493151,20241217.0,-1,1665160,,,,True,Offer,2024.0
1989886147,940725439,20241118.0,-1,1630718,,,,True,Offer,2024.0
1069176723,888771916,20240918.0,-1,53561,,,,True,Offer,2024.0
1368313817,916566017,20240926.0,-1,1665190,,,,False,Offer,2024.0
136796279,919367245,20241123.0,-1,54518,,,,False,Offer,2024.0
1219081477,918536041,20240925.0,-1,1692188,,,,True,Offer,2024.0
1500363291,919422200,20241102.0,-1,49683,,,,False,Offer,2024.0
888079027,884128296,20241225.0,-1,1546021,,,,True,Offer,2024.0
1580320545,887136513,20241015.0,-1,1572958,,,,True,Offer,2024.0
810115154,920408220,20241011.0,-1,50798,,,,False,Offer,2024.0
1281661855,914775613,20240921.0,-1,1600676,,,,False,Offer,2024.0
897161485,888921860,20240920.0,-1,54391,,,,False,Offer,2024.0
1723489373,940642016,20241113.0,-1,1508547,,,,True,Offer,2024.0
1776221765,884391617,20240903.0,-1,1542148,,,,False,Offer,2024.0
770167210,912097396,20240922.0,-1,1574882,,,,True,Offer,2024.0
800589220,860382203,20241223.0,-1,1575905,,,,True,Offer,2024.0
607515269,916600711,20241223.0,-1,1627774,,,,True,Offer,2024.0
1755229767,887103769,20241114.0,-1,1664288,,,,False,Offer,2024.0
1730366770,916718694,20241230.0,-1,55540,,,,True,Offer,2024.0
2104743500,917426977,20241108.0,-1,56437,,,,False,Offer,2024.0
658762890,862202185,20241209.0,-1,1544129,,,,True,Offer,2024.0
220542947,887012418,20241117.0,-1,1572059,,,,True,Offer,2024.0
1014068737,884239775,20241215.0,-1,1573856,,,,False,Offer,2024.0
433573151,889929080,20241116.0,-1,1575847,,,,True,Offer,2024.0
1168907099,912752705,20241218.0,-1,1600740,,,,False,Offer,2024.0
1597718063,891512750,20241103.0,-1,1630499,,,,False,Offer,2024.0
438667658,914655609,20240919.0,-1,1659261,,,,False,Offer,2024.0
1224250214,916566173,20241206.0,-1,1659517,,,,False,Offer,2024.0
510394372,912102328,20241215.0,-1,1509444,,,,False,Offer,2024.0
2003826116,889726152,20240908.0,-1,1537276,,,,True,Offer,2024.0
514086585,941499044,20240915.0,-1,1538211,,,,False,Offer,2024.0
1273329958,940487139,20241206.0,-1,1601731,,,,True,Offer,2024.0
1146583466,862909611,20241006.0,-1,1626751,,,,False,Offer,2024.0
2007022553,941497211,20241018.0,-1,52532,,,,True,Offer,2024.0
334293094,915609828,20240913.0,-1,1630594,,,,True,Offer,2024.0
607485049,913769600,20241209.0,-1,53497,,,,True,Offer,2024.0
1813320946,861157764,20241109.0,-1,1512330,,,,True,Offer,2024.0
1184389532,889669457,20241225.0,-1,1516235,,,,False,Offer,2024.0
793139135,912097371,20241212.0,-1,1690982,,,,True,Offer,2024.0
937545990,886090814,20241221.0,-1,1692092,,,,False,Offer,2024.0
1341362225,891754861,20241013.0,-1,1692898,,,,True,Offer,2024.0
1545169833,887967712,20241030.0,-1,1510345,,,,True,Offer,2024.0
1092735427,917456955,20241108.0,-1,1515272,,,,False,Offer,2024.0
2126838783,888889214,20240916.0,-1,1545091,,,,False,Offer,2024.0
28365693,920171717,20241019.0,-1,1598014,,,,True,Offer,2024.0
294301995,914660416,20241128.0,-1,1626773,,,,True,Offer,2024.0
2143811119,912812227,20241125.0,-1,52596,,,,True,Offer,2024.0
1573453382,887046915,20241029.0,-1,1635523,,,,False,Offer,2024.0
1937878645,918441768,20241007.0,-1,53683,,,,False,Offer,2024.0
1359181632,916538123,20241026.0,-1,1688373,,,,True,Offer,2024.0
1681027612,912899961,20241222.0,-1,1513251,,,,True,Offer,2024.0
1226663960,888834381,20241013.0,-1,1539355,,,,True,Offer,2024.0
1650895801,889872411,20241026.0,-1,50612,,,,False,Offer,2024.0
1342715203,914657538,20241203.0,-1,1570113,,,,True,Offer,2024.0
1405560398,914661409,20240911.0,-1,50703,,,,True,Offer,2024.0
576719184,940728350,20241003.0,-1,50734,,,,True,Offer,2024.0
1580320546,887136513,20241026.0,-1,1572957,,,,True,Offer,2024.0
1054402705,885168163,20241112.0,-1,50802,,,,False,Offer,2024.0
1630688724,884360024,20241121.0,-1,1626836,,,,True,Offer,2024.0
274290267,917372357,20241119.0,-1,1688342,,,,True,Offer,2024.0
532246193,918529494,20241022.0,-1,1689209,,,,True,Offer,2024.0
1713856751,860264009,20241124.0,-1,1513254,,,,True,Offer,2024.0
1704129043,891628901,20241023.0,-1,1514248,,,,False,Offer,2024.0
1328059122,916510253,20240919.0,-1,1537377,,,,True,Offer,2024.0
135893527,862168770,20241019.0,-1,1570855,,,,True,Offer,2024.0
1474988297,915587810,20240915.0,-1,1574695,,,,False,Offer,2024.0
320345410,883469213,20241221.0,-1,1605669,,,,True,Offer,2024.0
1804575918,912812475,20240915.0,-1,1656599,,,,True,Offer,2024.0
988110692,940461437,20241216.0,-1,1661343,,,,False,Offer,2024.0
327832255,940514019,20240928.0,-1,1663324,,,,True,Offer,2024.0
1372022520,941528990,20240930.0,-1,1691226,,,,False,Offer,2024.0
1627977223,884332123,20241203.0,-1,1693982,,,,True,Offer,2024.0
976300583,887044994,20241016.0,-1,55451,,,,False,Offer,2024.0
990064215,891513801,20240916.0,-1,48658,,,,True,Offer,2024.0
708638620,917459655,20241020.0,-1,1601821,,,,True,Offer,2024.0
834669024,886239746,20241231.0,-1,1692958,,,,False,Offer,2024.0
1295016748,887815816,20241107.0,-1,1516108,,,,True,Offer,2024.0
