customer_id,age,gender,geography,is_active,tenure_months,date_opened,credit_score,balance,num_products,has_cr_card,estimated_salary,is_churned
15706365,50,Female,France,true,108,2017-09-03,648,102535.57,1,true,189543.19,false
15613880,58,Male,Spain,true,60,2021-09-02,591,128468.69,1,false,137254.55,false
15653780,43,Female,France,true,60,2021-09-02,621,0.0,1,true,47578.45,false
15693814,25,Male,Spain,false,84,2019-09-03,806,0.0,2,true,18461.9,false
15752463,29,Female,Spain,true,48,2022-09-02,826,129938.07,1,false,190200.53,false
15727281,27,Female,France,false,108,2017-09-03,653,0.0,2,true,96429.29,false
15612494,44,Female,France,false,72,2020-09-02,359,128747.69,1,true,146955.71,true
15718944,37,Female,France,false,72,2020-09-02,573,0.0,2,true,193995.37,false
15575409,31,Male,Germany,false,72,2020-09-02,581,116891.72,1,true,107137.3,false
15683471,38,Male,France,false,84,2019-09-03,691,0.0,2,false,81617.4,false
15630241,61,Male,France,true,36,2023-09-02,594,62391.22,1,true,192434.11,false
15570004,31,Male,France,false,36,2023-09-02,850,0.0,2,true,121866.87,false
15687130,43,Female,France,true,0,2026-09-01,686,0.0,1,true,170072.9,false
15597951,58,Female,France,true,48,2022-09-02,471,114713.57,1,true,36315.03,false
15594084,22,Male,France,false,108,2017-09-03,524,0.0,2,true,74405.34,false
15761950,45,Female,Germany,true,108,2017-09-03,652,110827.49,1,true,153383.54,true
15648320,31,Female,France,false,84,2019-09-03,658,123974.96,1,true,102153.75,false
15609676,35,Female,France,false,24,2024-09-01,718,167924.95,1,true,43024.64,false
15719793,62,Male,Spain,true,60,2021-09-02,850,0.0,2,true,180243.56,false
15693376,43,Male,Spain,true,0,2026-09-01,741,0.0,2,true,2920.63,true
15587596,39,Female,Spain,false,96,2018-09-03,628,107553.33,1,true,117523.41,false
15621064,23,Male,Germany,true,60,2021-09-02,701,186101.18,2,true,76611.33,false
15746553,50,Male,Germany,true,60,2021-09-02,526,124233.24,1,false,159456.87,true
15748327,34,Male,Germany,false,72,2020-09-02,724,118235.7,2,false,157137.23,false
15620111,54,Male,France,false,96,2018-09-03,659,133436.52,1,true,56787.8,false
15696564,38,Male,France,true,0,2026-09-01,752,145974.79,2,true,137694.23,false
15628904,35,Male,Spain,true,96,2018-09-03,733,102918.38,1,true,45959.86,false
15638607,52,Female,France,false,24,2024-09-01,546,0.0,1,true,137332.37,true
15671351,35,Male,Spain,false,24,2024-09-01,624,0.0,2,true,87310.59,false
15702561,32,Male,France,true,108,2017-09-03,782,0.0,1,true,87566.97,false
15646594,41,Male,France,true,60,2021-09-02,749,57568.94,1,true,61128.29,false
15795527,43,Male,Spain,false,24,2024-09-01,699,136487.86,2,true,82815.93,false
15692430,36,Male,Germany,false,24,2024-09-01,699,123601.56,2,true,103557.85,false
15781574,76,Male,Spain,true,108,2017-09-03,636,126534.6,1,true,39789.62,false
15642098,36,Female,Spain,false,0,2026-09-01,622,108960.0,2,true,111180.3,true
15594651,38,Male,France,true,48,2022-09-02,748,115221.36,1,false,70956.75,false
15610711,40,Female,Germany,false,96,2018-09-03,678,128644.46,1,false,167673.37,false
15677796,47,Male,Germany,false,108,2017-09-03,766,129289.98,1,true,169935.46,true
15684669,41,Female,France,false,108,2017-09-03,567,137891.35,1,true,142009.46,true
15643215,38,Male,Germany,false,24,2024-09-01,602,71667.97,2,false,137111.89,false
15792726,25,Female,France,true,96,2018-09-03,470,127974.06,2,true,183259.35,false
15689526,35,Female,Germany,false,108,2017-09-03,542,127543.11,2,true,468.94,true
15680666,39,Female,Spain,false,24,2024-09-01,579,151963.26,2,true,158948.63,false
15753229,29,Male,France,true,108,2017-09-03,802,127414.55,1,true,134459.12,false
