customer_id,age,gender,geography,is_active,tenure_months,date_opened,credit_score,balance,num_products,has_cr_card,estimated_salary,is_churned
15780961,21,Female,France,false,12,2025-09-01,735,178718.19,2,true,22388.0,false
15705707,29,Female,Spain,false,96,2018-09-03,635,138296.94,2,true,141075.51,false
15707567,50,Male,Germany,false,72,2020-09-02,732,145338.76,1,false,91936.1,true
15806983,44,Male,France,false,36,2023-09-02,640,137148.68,1,true,92381.01,false
15729279,25,Female,France,false,48,2022-09-02,718,108691.95,1,true,63030.97,false
15633260,37,Male,France,true,12,2025-09-01,600,142663.46,1,false,88669.89,false
15722765,57,Female,Spain,true,0,2026-09-01,580,136820.99,1,false,108528.74,false
15600724,29,Male,Germany,false,60,2021-09-02,567,129750.68,1,true,109257.59,false
15804002,33,Female,France,true,12,2025-09-01,691,128306.83,1,true,113580.79,false
15736397,23,Male,France,false,12,2025-09-01,544,96471.2,1,true,35550.97,false
15720508,31,Male,France,false,"",2023-09-02,735,119558.35,1,false,72927.68,false
15791216,43,Male,Germany,false,96,"",600,133379.41,1,true,177378.66,true
15783541,37,Male,France,true,60,2021-09-02,755,0.0,2,false,194660.78,false
15662884,58,Male,Germany,true,12,2025-09-01,739,110597.76,1,false,160122.66,true
15769110,46,Female,France,false,60,2021-09-02,653,0.0,2,true,49707.85,false
15717937,43,Male,Germany,false,60,2021-09-02,554,99906.89,1,false,24983.39,false
15813894,21,Male,France,false,108,2017-09-03,620,0.0,2,false,154882.79,false
15710375,41,Male,France,false,72,2020-09-02,641,0.0,2,true,65396.79,false
15746461,35,Male,Spain,false,24,2024-09-01,709,0.0,2,true,104982.39,false
15660301,70,Male,Germany,true,72,2020-09-02,491,148745.92,2,true,17818.33,false
15614740,41,Female,France,true,72,2020-09-02,684,135203.81,2,true,121967.88,false
15743490,56,Female,Germany,false,108,2017-09-03,795,94348.94,1,true,29239.29,true
15691011,42,Male,France,true,108,2017-09-03,591,161651.37,2,true,131753.97,false
15669011,44,Female,France,true,108,2017-09-03,659,23503.31,1,false,169862.01,true
15669501,35,Male,France,true,"",2021-09-02,706,0.0,2,true,81718.37,false
15701081,36,Male,France,true,24,2024-09-01,785,0.0,1,false,61811.1,false
15778142,31,Female,Germany,true,12,2025-09-01,850,130089.56,2,true,4466.21,false
15804235,37,Female,France,true,24,2024-09-01,698,166178.02,2,true,71972.95,false
15735784,38,Male,France,false,96,2018-09-03,-20,0.0,1,true,47848.56,false
15601030,34,Female,Germany,true,60,2021-09-02,777,96693.66,1,true,172618.52,false
15665879,40,Female,France,true,"",2018-09-03,768,0.0,2,false,69080.46,false
15797081,49,Female,Germany,true,108,2017-09-03,611,115488.52,2,true,138656.81,true
15810995,34,Male,Germany,true,36,2023-09-02,526,122726.56,1,true,46772.36,false
15744873,48,Female,Germany,false,60,2021-09-02,657,143595.87,1,false,101314.65,true
15757865,62,Male,France,true,84,2019-09-03,642,0.0,2,true,61120.75,false
15724336,49,Female,Germany,false,60,2021-09-02,513,171601.27,1,true,126223.84,false
15720050,28,Female,France,false,24,2024-09-01,727,110997.76,1,true,101433.76,false
15658675,37,Male,Germany,true,72,2020-09-02,710,135795.63,1,false,46523.6,false
15687626,39,Male,France,false,48,2022-09-02,527,0.0,2,true,167183.07,true
