customer_id,age,gender,geography,is_active,tenure_months,date_opened,credit_score,balance,num_products,has_cr_card,estimated_salary,is_churned
15636684,37,Male,France,true,120,2016-09-03,727,0.0,2,true,198637.34,false
15684173,44,Female,Spain,false,84,2019-09-03,687,0.0,3,true,155853.52,true
15747960,33,Male,France,true,36,2023-09-02,733,0.0,1,true,7666.73,false
15721658,56,Female,Spain,true,24,2024-09-01,672,0.0,2,true,150694.42,true
15613319,33,Female,France,false,0,2026-09-01,793,0.0,1,false,175544.02,false
15737795,36,Male,Spain,true,12,2025-09-01,512,0.0,1,false,135482.26,true
15604295,36,Male,France,false,72,2020-09-02,543,0.0,2,true,176728.28,false
15678886,38,Male,Germany,false,84,2019-09-03,679,110555.37,2,true,46522.68,false
15610383,46,Female,France,false,12,2025-09-01,628,46870.43,4,true,31272.14,true
15565779,30,Female,Germany,false,72,2020-09-02,627,57809.32,1,true,188258.49,false
15582960,33,Female,France,true,60,2021-09-02,473,125827.43,1,false,145698.73,false
15592645,37,Male,Spain,false,48,2022-09-02,704,0.0,2,false,25684.93,false
15769582,29,Male,France,true,36,2023-09-02,586,0.0,2,true,142238.54,false
15729954,28,Female,France,false,60,"",586,0.0,3,true,170487.4,true
15723894,45,Male,France,false,84,2019-09-03,625,137555.44,1,false,124607.7,false
15714057,40,Male,Spain,false,48,2022-09-02,528,0.0,2,true,25399.7,false
15732430,54,Female,Spain,false,48,2022-09-02,850,120952.74,1,true,66963.15,false
15610147,60,Male,France,true,24,2024-09-01,632,0.0,2,false,2085.32,false
15642710,26,Male,France,false,84,2019-09-03,686,0.0,2,true,1540.89,false
15664555,40,Male,France,true,24,2024-09-01,587,0.0,4,false,106174.7,true
15707291,48,Male,Germany,true,96,2018-09-03,477,129250.0,2,true,157937.35,false
15602282,45,Female,Germany,true,96,2018-09-03,587,134980.74,1,true,123309.57,true
15723105,28,Female,France,true,72,2020-09-02,756,0.0,1,true,164394.65,false
15790067,39,Male,Spain,false,36,2023-09-02,614,151914.93,1,false,56459.45,false
15695174,29,Male,France,true,48,2022-09-02,654,132954.64,1,true,146715.07,false
15747458,43,Female,Spain,true,36,2023-09-02,677,133214.88,2,true,95936.84,false
15761340,22,Male,France,true,60,2021-09-02,521,0.0,2,true,99828.45,false
15814750,34,Male,Spain,true,96,2018-09-03,629,0.0,2,true,180595.02,false
15574369,53,Male,Spain,true,60,2021-09-02,415,167259.44,1,true,22357.25,false
15636407,34,Female,Germany,false,60,2021-09-02,793,127758.09,1,true,143357.03,false
15646563,35,Female,France,true,108,2017-09-03,772,0.0,1,false,25448.31,false
15769980,40,Female,Germany,true,36,2023-09-02,705,92889.91,1,true,109496.69,false
15609928,43,Male,Germany,true,60,2021-09-02,850,129305.09,2,false,19244.58,false
15768476,31,Male,Spain,true,72,2020-09-02,703,0.0,2,true,67667.19,false
15632882,37,Male,Germany,true,12,2025-09-01,684,126817.13,2,true,29995.83,true
15601012,60,Female,France,false,36,2023-09-02,802,92887.06,1,true,39473.63,true
15653952,38,Female,Germany,true,36,2023-09-02,581,135157.05,1,true,32919.42,false
15668057,31,Female,France,false,72,2020-09-02,669,113000.66,1,true,40467.82,false
