customer_id,offer_id,offer_type,accepted,date_offered,accepted_flag,date_offered_key
15720702,1067,Rate Discount,false,2024-09-30,No,2024-09-30
15714567,1086,Product Upgrade,false,2024-11-30,No,2024-11-30
15704586,1119,Fee Waiver,true,"",Yes,1900-01-01
15671032,1240,Rate Discount,true,2026-02-06,Yes,2026-02-06
15801767,1343,Fee Waiver,true,2025-10-26,Yes,2025-10-26
15602844,1420,Cashback,false,2026-06-08,No,2026-06-08
15626983,1552,Product Upgrade,true,2025-12-05,Yes,2025-12-05
15687658,1677,Product Upgrade,false,2025-11-26,No,2025-11-26
15651554,1709,Fee Waiver,false,2025-03-21,No,2025-03-21
15751057,1912,Product Upgrade,false,2025-09-22,No,2025-09-22
15641629,1998,Cashback,true,2025-06-16,Yes,2025-06-16
15581748,2214,Product Upgrade,false,2026-03-09,No,2026-03-09
15694717,225,Loyalty Bonus,false,2025-03-02,No,2025-03-02
15713608,2320,Loyalty Bonus,false,2026-04-12,No,2026-04-12
15725166,235,Loyalty Bonus,true,2025-12-30,Yes,2025-12-30
15735632,2786,Loyalty Bonus,true,2025-04-05,Yes,2025-04-05
15753213,2999,Cashback,true,2025-04-09,Yes,2025-04-09
15633537,312,Rate Discount,false,2025-03-26,No,2025-03-26
15600692,3242,Fee Waiver,true,2025-07-18,Yes,2025-07-18
15754649,3510,Product Upgrade,false,2024-09-28,No,2024-09-28
15792250,4028,Product Upgrade,true,2025-03-21,Yes,2025-03-21
15620341,4043,Product Upgrade,"",2026-01-06,Unknown,2026-01-06
15682421,4181,Fee Waiver,true,2026-08-25,Yes,2026-08-25
15680234,4287,Rate Discount,true,2026-02-23,Yes,2026-02-23
15781234,4846,Rate Discount,true,2025-04-14,Yes,2025-04-14
15625247,5054,Loyalty Bonus,true,2026-08-12,Yes,2026-08-12
15776947,5459,Product Upgrade,false,2026-06-26,No,2026-06-26
15761149,6250,Rate Discount,true,2025-04-24,Yes,2025-04-24
15772482,6392,Loyalty Bonus,true,2026-03-21,Yes,2026-03-21
15789484,65,Cashback,false,2026-05-22,No,2026-05-22
15589698,6645,Rate Discount,false,2026-08-06,No,2026-08-06
15604551,7231,Loyalty Bonus,false,2025-08-06,No,2025-08-06
15585255,752,Fee Waiver,true,2026-08-22,Yes,2026-08-22
15634551,7653,Cashback,true,2025-04-29,Yes,2025-04-29
15802909,7937,Cashback,false,2026-03-22,No,2026-03-22
15574480,7951,Fee Waiver,true,2025-02-05,Yes,2025-02-05
15574480,7952,Loyalty Bonus,false,2025-12-23,No,2025-12-23
