customer_id,offer_id,offer_type,accepted,date_offered,accepted_flag,date_offered_key
15803681,1017,Cashback,false,2025-06-30,No,2025-06-30
15758726,1288,Product Upgrade,true,2025-04-03,Yes,2025-04-03
15786852,1515,Fee Waiver,false,2026-03-19,No,2026-03-19
15679299,1835,Unknown,true,2025-04-27,Yes,2025-04-27
15757577,1858,Cashback,true,2025-01-26,Yes,2025-01-26
15711540,208,Cashback,true,2026-07-27,Yes,2026-07-27
15790846,2106,Cashback,false,2025-06-19,No,2025-06-19
15735263,2148,Cashback,true,2026-06-15,Yes,2026-06-15
15774872,2611,Rate Discount,false,2026-08-03,No,2026-08-03
15726796,2719,Loyalty Bonus,true,2026-07-02,Yes,2026-07-02
15603170,3193,Rate Discount,false,2024-12-11,No,2024-12-11
15772148,3343,Loyalty Bonus,false,2025-07-23,No,2025-07-23
15668248,3699,Product Upgrade,true,2025-10-13,Yes,2025-10-13
15772341,3984,Rate Discount,true,2025-02-04,Yes,2025-02-04
15680234,4286,Loyalty Bonus,true,2025-06-24,Yes,2025-06-24
15585777,4472,Loyalty Bonus,true,2025-06-26,Yes,2025-06-26
15579891,4847,Rate Discount,false,2025-03-26,No,2025-03-26
15754820,5091,Rate Discount,true,2026-03-22,Yes,2026-03-22
15701522,5178,Fee Waiver,false,2025-01-16,No,2025-01-16
15668767,5339,Rate Discount,true,2025-09-25,Yes,2025-09-25
15586674,5400,Rate Discount,false,2026-01-02,No,2026-01-02
15776629,5403,Fee Waiver,true,2024-10-07,Yes,2024-10-07
15631457,5436,Product Upgrade,true,2025-07-09,Yes,2025-07-09
15770214,5444,Loyalty Bonus,true,2026-06-27,Yes,2026-06-27
15615477,5480,Fee Waiver,true,2025-01-29,Yes,2025-01-29
15648725,5603,Fee Waiver,true,2026-04-28,Yes,2026-04-28
15704581,5643,Loyalty Bonus,false,2024-10-19,No,2024-10-19
15702801,6154,Cashback,true,2026-01-18,Yes,2026-01-18
15776596,6449,Cashback,false,2026-07-29,No,2026-07-29
15616168,7046,Product Upgrade,false,2026-01-21,No,2026-01-21
15760662,7282,Loyalty Bonus,"",2024-12-02,Unknown,2024-12-02
15669946,7327,Product Upgrade,true,2025-06-23,Yes,2025-06-23
15566091,770,Fee Waiver,false,2025-01-10,No,2025-01-10
15663706,78,Product Upgrade,true,2025-04-19,Yes,2025-04-19
15603883,7811,Product Upgrade,true,2026-03-29,Yes,2026-03-29
15738224,7882,Fee Waiver,true,2025-11-26,Yes,2025-11-26
15626012,7893,Cashback,true,2024-12-05,Yes,2024-12-05
15587133,8003,Fee Waiver,true,2025-02-12,Yes,2025-02-12
