customer_id,offer_id,offer_type,accepted,date_offered,accepted_flag,date_offered_key
15613844,1000,Fee Waiver,false,2024-09-09,No,2024-09-09
15782688,118,Product Upgrade,false,2026-04-30,No,2026-04-30
15630698,1734,Fee Waiver,false,2024-12-31,No,2024-12-31
15701096,2102,Cashback,true,2026-07-17,Yes,2026-07-17
15650068,257,Rate Discount,true,2026-08-26,Yes,2026-08-26
15693732,2745,Rate Discount,true,2025-04-08,Yes,2025-04-08
15643042,3046,Fee Waiver,true,2025-06-23,Yes,2025-06-23
15663263,3049,Cashback,false,2025-05-10,No,2025-05-10
15777599,4058,Rate Discount,false,2025-12-27,No,2025-12-27
15684319,4226,Fee Waiver,true,2025-09-10,Yes,2025-09-10
15642515,4436,Loyalty Bonus,true,2025-09-16,Yes,2025-09-16
15727041,4664,Product Upgrade,true,2024-09-14,Yes,2024-09-14
15725945,4891,Product Upgrade,false,2026-08-25,No,2026-08-25
15677550,4944,Fee Waiver,true,2024-11-15,Yes,2024-11-15
15590097,5032,Product Upgrade,false,2025-06-10,No,2025-06-10
15706269,5246,Rate Discount,false,2025-05-07,No,2025-05-07
15792365,6,Rate Discount,true,2025-10-31,Yes,2025-10-31
15611682,6088,Fee Waiver,"",2025-08-21,Unknown,2025-08-21
15714883,6224,Loyalty Bonus,true,2025-12-07,Yes,2025-12-07
15797165,6257,Fee Waiver,false,2025-06-24,No,2025-06-24
15772482,6393,Loyalty Bonus,false,2025-10-20,No,2025-10-20
15792004,6680,Cashback,false,2025-03-01,No,2025-03-01
15707473,669,Fee Waiver,true,2025-04-16,Yes,2025-04-16
15605673,6911,Loyalty Bonus,true,"",Yes,1900-01-01
15717498,7201,Loyalty Bonus,false,2025-10-24,No,2025-10-24
15643770,7363,Fee Waiver,false,2026-07-16,No,2026-07-16
15785024,7496,Cashback,"",2026-02-05,Unknown,2026-02-05
